127.0.0.1, 2021-08-11 11:59:28, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2021-08-11 12:02:29, GET, /welcome, HTTP/1.1, 200, 0.007009
127.0.0.1, 2021-08-11 12:02:29, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2021-08-11 12:04:24, GET, /welcome, HTTP/1.1, 200, 0.007978
127.0.0.1, 2021-08-11 12:04:24, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000998
127.0.0.1, 2021-08-11 12:05:41, GET, /welcome, HTTP/1.1, 200, 0.007978
127.0.0.1, 2021-08-11 12:05:41, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000998
127.0.0.1, 2021-08-11 12:06:02, GET, /welcome, HTTP/1.1, 200, 0.006981
127.0.0.1, 2021-08-11 12:06:02, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000997
127.0.0.1, 2021-08-11 12:06:18, GET, /welcome/static/js/bootstrap.bundle.min.js.map, HTTP/1.1, 200, 0.000000
127.0.0.1, 2021-08-11 12:06:18, GET, /welcome/static/css/bootstrap.min.css.map, HTTP/1.1, 200, 0.000000
127.0.0.1, 2021-08-11 12:06:33, GET, /welcome, HTTP/1.1, 200, 0.007923
127.0.0.1, 2021-08-11 12:06:33, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000998
127.0.0.1, 2021-08-11 12:06:34, GET, /welcome, HTTP/1.1, 200, 0.008002
127.0.0.1, 2021-08-11 12:06:34, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2021-08-11 12:06:34, GET, /welcome, HTTP/1.1, 200, 0.007004
127.0.0.1, 2021-08-11 12:06:34, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000997
127.0.0.1, 2021-08-11 12:07:07, GET, /welcome, HTTP/1.1, 200, 0.007004
127.0.0.1, 2021-08-11 12:07:37, GET, /welcome, HTTP/1.1, 200, 0.006979
127.0.0.1, 2021-08-11 12:07:37, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2021-08-11 12:09:38, GET, /welcome, HTTP/1.1, 200, 0.008981
127.0.0.1, 2021-08-11 12:09:38, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001025
127.0.0.1, 2021-08-11 12:09:38, GET, /welcome, HTTP/1.1, 200, 0.007004
127.0.0.1, 2021-08-11 12:09:38, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000996
127.0.0.1, 2021-08-11 12:09:38, GET, /welcome, HTTP/1.1, 200, 0.007006
127.0.0.1, 2021-08-11 12:09:38, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2021-08-11 12:09:39, GET, /welcome, HTTP/1.1, 200, 0.007978
127.0.0.1, 2021-08-11 12:09:39, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2021-08-11 12:09:39, GET, /welcome, HTTP/1.1, 200, 0.007011
